,Unnamed: 0,Months,Year Code,Year,Value
458,7598,August,1999,1999,1.912
459,7599,August,2000,2000,0.523
460,7600,August,2001,2001,-2.529
461,7601,August,2002,2002,1.396
462,7602,August,2003,2003,3.08
463,7603,August,2004,2004,-0.158
464,7604,August,2005,2005,0.18
465,7605,August,2006,2006,1.437
466,7606,August,2007,2007,0.58
467,7607,August,2008,2008,0.074
468,7608,August,2009,2009,-0.37
469,7609,August,2010,2010,1.318
470,7610,August,2011,2011,3.749
471,7611,August,2012,2012,-1.522
472,7612,August,2013,2013,5.09
473,7613,August,2014,2014,0.718
474,7614,August,2015,2015,-1.055
475,7615,August,2016,2016,3.436
476,7616,August,2017,2017,-0.235
477,7617,August,2018,2018,3.146
478,7618,August,2019,2019,-0.137
479,7619,August,2020,2020,-1.286
480,7620,September,1961,1961,1.908
481,7621,September,1962,1962,0.851
482,7622,September,1963,1963,3.659
483,7623,September,1964,1964,-2.754
484,7624,September,1965,1965,-2.656
485,7625,September,1966,1966,0.875
486,7626,September,1967,1967,1.055
487,7627,September,1968,1968,-2.379
488,7628,September,1969,1969,0.235
489,7629,September,1970,1970,2.419
490,7630,September,1971,1971,-1.488
491,7631,September,1972,1972,0.319
492,7632,September,1973,1973,1.286
493,7633,September,1974,1974,0.407
494,7634,September,1975,1975,-0.856
495,7635,September,1976,1976,-0.442
496,7636,September,1977,1977,-2.912
497,7637,September,1978,1978,-0.014
498,7638,September,1979,1979,2.1
499,7639,September,1980,1980,0.353
500,7640,September,1981,1981,-1.201
501,7641,September,1982,1982,-2.296
502,7642,September,1983,1983,1.318
503,7643,September,1984,1984,2.209
504,7644,September,1985,1985,-1.034
505,7645,September,1986,1986,-2.288
506,7646,September,1987,1987,-1.116
507,7647,September,1988,1988,2.752
508,7648,September,1989,1989,1.728
509,7649,September,1990,1990,-1.186
510,7650,September,1991,1991,4.367
511,7651,September,1992,1992,0.498
512,7652,September,1993,1993,-0.308
513,7653,September,1994,1994,1.52
514,7654,September,1995,1995,-1.173
515,7655,September,1996,1996,3.353
516,7656,September,1997,1997,-1.127
517,7657,September,1998,1998,-2.904
518,7658,September,1999,1999,-2
519,7659,September,2000,2000,-0.514
520,7660,September,2001,2001,1.759
521,7661,September,2002,2002,1.717
522,7662,September,2003,2003,-1.366
523,7663,September,2004,2004,3.344
524,7664,September,2005,2005,4.764
525,7665,September,2006,2006,-0.325
526,7666,September,2007,2007,-0.279
527,7667,September,2008,2008,4.235
528,7668,September,2009,2009,2.669
529,7669,September,2010,2010,-0.243
530,7670,September,2011,2011,0.307
531,7671,September,2012,2012,-0.916
532,7672,September,2013,2013,6.735
533,7673,September,2014,2014,2.039
534,7674,September,2015,2015,-0.904
535,7675,September,2016,2016,-0.413
536,7676,September,2017,2017,0.557
537,7677,September,2018,2018,-1.651
538,7678,September,2019,2019,-0.045
539,7679,September,2020,2020,0.87
540,7680,October,1961,1961,1.282
541,7681,October,1962,1962,0.123
542,7682,October,1963,1963,-0.467
543,7683,October,1964,1964,-1.586
544,7684,October,1965,1965,-1.108
545,7685,October,1966,1966,-0.486
546,7686,October,1967,1967,-1.999
547,7687,October,1968,1968,2.962
548,7688,October,1969,1969,0.626
549,7689,October,1970,1970,1.779
550,7690,October,1971,1971,1.046
551,7691,October,1972,1972,1.831
552,7692,October,1973,1973,0.787
553,7693,October,1974,1974,0.81
554,7694,October,1975,1975,1.001
555,7695,October,1976,1976,-0.349
556,7696,October,1977,1977,-2.992
557,7697,October,1978,1978,0.37
558,7698,October,1979,1979,-1.412
559,7699,October,1980,1980,-0.61
560,7700,October,1981,1981,-3.156
561,7701,October,1982,1982,0.949
562,7702,October,1983,1983,-2.584
563,7703,October,1984,1984,-1.245
564,7704,October,1985,1985,-0.513
565,7705,October,1986,1986,-1.343
566,7706,October,1987,1987,-0.577
567,7707,October,1988,1988,3.575
568,7708,October,1989,1989,-0.752
569,7709,October,1990,1990,1.022
570,7710,October,1991,1991,-0.631
571,7711,October,1992,1992,2.934
572,7712,October,1993,1993,-0.15
573,7713,October,1994,1994,-0.565
574,7714,October,1995,1995,0.646
575,7715,October,1996,1996,-0.968
576,7716,October,1997,1997,-2.028
577,7717,October,1998,1998,-2.611
578,7718,October,1999,1999,-0.519
579,7719,October,2000,2000,-0.558
580,7720,October,2001,2001,-1.454
581,7721,October,2002,2002,0.985
